Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
"Futuristic Scifi, AI, sentience/consciousness, what is life? what is real? revealing the wider world beyond the parks (and the other parks), the architecture",futuristic scifi/scifi/sentience/consciousness/futuristic,other parks/wider world/futuristic scifi/parks,"Futuristic,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Other storyline/Plot mentions,,,"
The artificial intelligence aspect and Jeffrey wright,jeffrey wright/artificial intelligence aspect/artificial intelligence/intelligence aspect/jeffrey,intelligence/jeffrey,"Technological aspects (inclusion of robots, exploring AI, etc.),Other acting mentions,,,,,"
is very good,good,,"Good/like the show/everything,,,,,,"
"interesting plot, interest to see how reality and 'fiction' merge in the show",interesting plot/fiction/interesting/plot/interest,interesting plot/interest,"Interesting/engaging,Like the premise/setting/scenery,Other show characteristic mentions,,,,"
Engaging,engaging,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It a how that goes beyond the typical sci-fi story and tells the side of machine trying to survive and gain it's on identity.,typical sci/goes beyond/machine trying/sci/identity,typical sci/fi,"Suspense/Mystery/thrillers,Technology involvement/overpowering human life,,,,,"
It has very good acting and plot lines I'm always surprised by,plot lines/good acting/lines/good/acting,good acting,"Good acting,Like the premise/setting/scenery,,,,,"
What draws me to Westworld is the thrill and excitement of every scene. I like the unexpected plot twists and how characters form bonds with one another. It is a good show because of the complex plot and the intrigue of its characters,every scene/westworld/unexpected plot twists/characters form bonds/scene,unexpected plot twists/complex plot/good show,"Suspense/Mystery/thrillers,Exciting,Like the characters interaction,Good/like the show/everything,Complex storyline,Appealing characters/I like the characters,"
I like the plot of the show,like the plot/show/like/plot,plot,"Like the premise/setting/scenery,,,,,,"
The plot twists and expanding further into the westworld universe,westworld universe/plot twists/universe/plot/twists,plot twists,"Suspense/Mystery/thrillers,Western aspect,,,,,"
The entire concept of AI and alternate realities interests me.,alternate realities interests/entire concept/alternate realities/realities interests/entire,entire concept,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Good show to fall asleep to.,good show/show to fall/fall asleep/good/show,good,"All negative mentions,,,,,,"
"The story is amazing for starters. The acting is top notch, the story telling is awesome and the overall show is wild fun.",story telling/story/starters/top notch/wild fun,overall show/story telling/top notch/story,"Good/like the show/everything,Good acting,Good storyline/subject matter,Witty/humorous/funny/entertaining,,,"
the mistrey,mistrey,,"Suspense/Mystery/thrillers,,,,,,"
Comparing the original version to the new version,original version/new version/comparing/version/comparing the original,version,"Other misc. mentions,,,,,,"
It's storyline. The show is very right for today. Culturuly. It touches on alot of topics that are taboo,storyline/culturuly/today/show/right,today/right/show/storyline,"Good storyline/subject matter,Other show characteristic mentions,,,,,"
"i like the thriller of it , the plots i can't wait to see how it pans out and the hero's that make the show",wait/hero/show/wait to see/make the show,plots/thriller,"Suspense/Mystery/thrillers,Like the premise/setting/scenery,,,,,"
"I enjoyed the futuristic story lines, AI, Characters in all 3 seasons, but season 3 is too complex.",futuristic story lines/story lines/futuristic story/characters/lines,futuristic story lines/ai,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),Like the character complexity,,,,"
the cast in the show & the overall storylines/concept draws me into this show. This is a storyline that i feel like we will be living in the not to distant future,overall storylines/concept draws/show/storylines/concept,overall storylines/cast,"Good cast/actors,Good storyline/subject matter,Relevant to 21st century/existing in the world today/reflects our current society,,,,"
i like the story,story/like the story/like,,"Good storyline/subject matter,,,,,,"
nudity,nudity,,"Other storyline/Plot mentions,,,,,,"
"The writing is great. When this show originally aired I felt as though it hit a new exciting way to portray the future and the possibilities of a fully human-like AI. And one my favorite parts is how they incorporate the songs (for example, Paint it Black) into the soundtrack to the show, but played on an old time piano, or the background music to a scene. It’s so clever and once I picked it up it’s something I look forward to every episode.",show originally aired/new exciting way/great/old time piano/fully human,old time piano/new exciting way/background music/favorite parts/like ai,"Like the writing/dialog,Unique/different,Exciting,Technological aspects (inclusion of robots, exploring AI, etc.),Other High quality production values Mentions,Like the music/song,"
"DescriptionWestworld isn't your typical amusement park. Intended for rich vacationers, the futuristic park -- which is looked after by robotic ""hosts"" --",typical amusement park/typical amusement/amusement park/park/descriptionwestworld,amusement park/rich vacationers/park,"Other misc. mentions,,,,,,"
"It's characters and story telling are great. I love the manipulation of time in the first season, and the changing perspectives of the characters as they become more aware",story telling/great/first season/characters/telling are great,first season/story telling/characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I like that the current season is more futuristic. I like that the storylines are complex.,current season/like/futuristic/current/season,current season,"Futuristic,Complex storyline,,,,,"
BEST AND SO,best,,"Good/like the show/everything,,,,,,"
it is just such a great break from my reality,great break/reality/great/break,great,"Good/like the show/everything,,,,,,"
Friends talk about the show and it makes me want to watch to see what all the fascination is about.,friends talk/want to watch/friends/talk/show,friends,"Heard good review/recommendations by family/friends,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
The plotline is one that I've never encountered.,never encountered/never/encountered/plotline/one,plotline,"Good storyline/subject matter,,,,,,"
A different storylines and different characters,different characters/different storylines/characters/storylines and different/different,different,"Unique/different,Good storyline/subject matter,Appealing characters/I like the characters,,,,"
it is very good i like it very much,good/much/like,,"Good/like the show/everything,,,,,,"
It’s definitely different and not like any other shows.,definitely different/definitely/shows/different/like,other,"Unique/different,,,,,,"
"Unpredictable plot line, evolution and growth of characters, interesting",unpredictable plot line/interesting/unpredictable plot/plot line/unpredictable,unpredictable plot line,"Suspense/Mystery/thrillers,Like the characters development,Appealing characters/I like the characters,,,,"
i like the story and character,character/story and character/like/story/like the story,story,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
Season 1 was good but season 2 became too much,much/season/became too much/good/became,season,"Good experience/liked the previous seasons,,,,,,"
Sci-fi and my love for westerns,sci/westerns/love for westerns/love,fi/sci,"Science fiction/fantasy,Western aspect,,,,,"
It is different,different,,"Unique/different,,,,,,"
It’s interesting and different,interesting/different/interesting and different,interesting,"Interesting/engaging,Unique/different,,,,,"
The artificial intelligence surrounding the plot and also the genius behind the director as well as story line.,artificial intelligence surrounding/story line/artificial intelligence/intelligence surrounding/also the genius,artificial intelligence/story,"Technological aspects (inclusion of robots, exploring AI, etc.),Other misc. mentions,Good storyline/subject matter,,,,"
I can’t remember,remember,,"None/no answer,,,,,,"
The depth of the characters and the intriguing of the future civilization,future civilization/civilization/depth/characters/intriguing,future civilization,"Appealing characters/I like the characters,Futuristic,,,,,"
this is an awesome show and i love it,awesome show/awesome/show/love,awesome,"Good/like the show/everything,,,,,,"
Call my phone and call my number one phone call my number number again call my phone call my name number is so call my number call call my phone call call my call number call call my phone number is and call call me back I wanna was the day I wanna was the time,call/call call/number/phone call/one phone call,call number call/number call call/phone call call/number number/phone number,"None/no answer,,,,,,"
None,none,,"None/no answer,,,,,,"
knowing that some day this will be a reality,knowing/reality/day,day,"Looks realistic,,,,,,"
I enjoy sci fi and west world fits that genre well with good characters and plot,west world fits/enjoy sci/west world/world fits/genre well,sci fi/west,"Science fiction/fantasy,Like the genre,Appealing characters/I like the characters,Like the premise/setting/scenery,,,"
It so different from any other show I've watched. The characters are so interesting and to see the AI characters making their own decisions is disturbing and scary.,watched/different/show/characters/scary,ai characters/other show/own/characters,"Unique/different,Appealing characters/I like the characters,Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
No comment was made about the concept of the fact that it has a lot of redeeming features,redeeming features/features/comment/made/concept,redeeming features/comment,"All negative mentions,,,,,,"
The drama is outstanding.,outstanding/drama is outstanding/drama,drama,"Like the drama,,,,,,"
The wonderful story line,wonderful story line/story line/wonderful story/line/wonderful,story,"Good storyline/subject matter,,,,,,"
I enjoyed season 1 and season 2 and plan to watch season 3 completely as soon as my spouse catches up,completely as soon/spouse catches/enjoyed season/watch season/season,season,"Good/like the show/everything,,,,,,"
the story is always crazy and keeps you on your feet,always crazy/feet/story/always/crazy,story,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
I liked the original movie that it is based on,original movie/liked/original/movie/based,original,"Already seen/like the original movie,,,,,,"
it is always new and thrilling,always new/thrilling/new and thrilling/always/new,new,"Unique/different,Suspense/Mystery/thrillers,,,,,"
i love the characters and the storyline. it always keeps me on the edge,love the characters/storyline/love/characters/always keeps,characters,"Appealing characters/I like the characters,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
I LOVE THE DIFFERENT STORYLINES AND THE ACTORS,different storylines/actors/love/different/storylines,different,"Multiple story lines,Good cast/actors,,,,,"
Its such a wild fantasy that was put in to a good cinema,good cinema/wild fantasy/cinema/wild/fantasy,wild fantasy,"Science fiction/fantasy,,,,,,"
The idea of it is interesting .,interesting/idea,idea,"Like the concept/idea of futuristic amusement park,,,,,,"
It is a genre that I enjoy. It is suspenseful and has you very immersed in the shoe,enjoy/genre/shoe/suspenseful/immersed,genre,"Like the genre,Witty/humorous/funny/entertaining,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
The opening song and images because it depicts a futuristic ability which indicates the shows contents.,shows contents/opening song/futuristic ability/contents/opening,opening song/futuristic,"Like the music/song,Good visuals/graphics/special effects,Futuristic,,,,"
"it is the best current show, the best theme, impeccable performance, I love science fiction",love science fiction/best current show/impeccable performance/current show/science fiction,best current/impeccable performance/best,"Good/like the show/everything,Good storyline/subject matter,Good acting,Science fiction/fantasy,,,"
the acting is really great and feels real and the story and world they live in is pretty wild and I love to see the future,really great/great and feels/feels real/pretty wild/future,real/great/acting,"Good acting,Looks realistic,Good storyline/subject matter,Futuristic,,,"
"I like the complexity of the show, the imagination of the writers.",like the complexity/show/writers/like/complexity,show/complexity,"Complex storyline,,,,,,"
The storyline of Westworld draws me to watch more episodes.,westworld draws/westworld/episodes/storyline of westworld/watch more episodes,more episodes,"Good storyline/subject matter,,,,,,"
I stopped watching the show after season one so this question has no answer.,season one/stopped watching/one/stopped/watching,season/show,"Have not watched enough to comment/not familiar with the show,,,,,,"
scifi,scifi,,"Science fiction/fantasy,,,,,,"
excitement band different,excitement band different/excitement band/band different/excitement/different,band,"Exciting,Unique/different,,,,,"
friends recommendation,friends recommendation/friends/recommendation,friends,"Heard good review/recommendations by family/friends,,,,,,"
"This show is well acted, has beautiful scenery, some good special effects, a convoluted story line, with twists. This series involves some of the most talented writers and actors of our generation.",good special effects/convoluted story line/well acted/beautiful scenery/special effects,good special/talented writers/beautiful scenery/story,"Good acting,Like the premise/setting/scenery,Good visuals/graphics/special effects,Suspense/Mystery/thrillers,Like the writing/dialog,Good cast/actors,"
the action scenes and the story,action scenes/story/action/scenes,action,"Like the action/adventurous,Good storyline/subject matter,,,,,"
I haven't watched it in a few seasons so I'm not sure,watched/seasons/sure,few,"Have not watched enough to comment/not familiar with the show,,,,,,"
I love the storyline. It's stupendous and wonderful,storyline/love the storyline/love/stupendous/wonderful,storyline,"Good storyline/subject matter,,,,,,"
the staring cast and the story lines,story lines/staring cast/lines/staring/cast,story,"Good cast/actors,Good storyline/subject matter,,,,,"
Mostly the production value and the music,production value/mostly/music/mostly the production/production,production,"High quality show/high production values,Like the music/song,,,,,"
Is unique and unlike anythign else on television,unlike anythign else/unlike anythign/anythign else/television/else on television,unique,"Unique/different,,,,,,"
Season 3 is nothing like the first two and I am almost ready to stop watching the show,nothing like/first two/almost ready/stop watching/season,first/season,"All negative mentions,,,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
I like that it takes place in a unique world that lets me get away and get involved into the characters lives and stories.,takes place/unique world/characters lives/get away/get involved,unique world/characters,"Unique/different,Like the premise/setting/scenery,Appealing characters/I like the characters,,,,"
I enjoy the plot twists and puzzles,plot twists/puzzles/twists and puzzles/enjoy/plot,plot,"Suspense/Mystery/thrillers,,,,,,"
The music fitting the scenes,music fitting/scenes/fitting the scenes/music/fitting,music,"Like the music/song,,,,,,"
"I love the detail of the show, it puts me in suspense.",love the detail/show/suspense/love/detail,detail,"Informative/detailed,Suspense/Mystery/thrillers,,,,,"
My friends are talking about it. Seems interesting as to what the “robots” will do next after getting out but I’m not a big fan of si-fi don’t watch it enough to keep up,robots/friends/talking/seems interesting/friends are talking,big fan/interesting/friends,"Heard good review/recommendations by family/friends,Have not watched enough to comment/not familiar with the show,,,,,"
I enjoy that there are always twists and turns. Thandie Newtons character is amazing. She is strong and determined.,always twists/thandie newtons character/thandie newtons/turns/newtons character,thandie newtons character/twists,"Suspense/Mystery/thrillers,Other characters mentions,,,,,"
It really intrigues me. I like following the characters and story line.,really intrigues/really/intrigues/story line/line,story,"Interesting/engaging,Appealing characters/I like the characters,Good storyline/subject matter,,,,"
I like the characters and the actors who play them,like the characters/like/characters/actors/play,characters,"Appealing characters/I like the characters,Good cast/actors,,,,,"
I like shows that intentiobally cibfuse and make you think,like shows/intentiobally cibfuse/think/make you think/like,,"Thought provoking,,,,,,"
The characters of the show draws me in and the scenery of the show,show draws/show/characters/draws/scenery,characters,"Appealing characters/I like the characters,Like the premise/setting/scenery,,,,,"
Very thought provoking and unlike anything else on tv,unlike anything else/thought provoking/unlike anything/anything else/thought,provoking,"Thought provoking,Unique/different,,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
The idea of technology advancing beyond its program and the dangers it can result in,technology advancing beyond/technology advancing/advancing beyond/idea/technology,technology/idea,"Technological aspects (inclusion of robots, exploring AI, etc.),Technology involvement/overpowering human life,,,,,"
How it’s so unlike anything else I’ve seen.,unlike anything else/seen/unlike anything/anything else/unlike,,"Unique/different,,,,,,"
"The excellent acting, the writing and dialogue, and the characters. Also the exploration of themes like big data and privacy, which are super relevant now.",excellent acting/themes like big/like big data/acting/dialogue,big data/excellent acting/writing,"Good acting,Like the writing/dialog,Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),Relevant to 21st century/existing in the world today/reflects our current society,,"
its to good and i like it very much,good/much/like,,"Good/like the show/everything,,,,,,"
it has some really interesting perspectives and ideas that they explore in cool and interesting ways.,really interesting perspectives/interesting ways/really interesting/interesting perspectives/cool and interesting,interesting perspectives/interesting,"Interesting/engaging,Like the concept/idea of futuristic amusement park,,,,,"
It has a good story line but was too slow for me,good story line/good story/story line/good/story,good story,"Good storyline/subject matter,,,,,,"
is good,good,,"Good/like the show/everything,,,,,,"
Its all good,good,,"Good/like the show/everything,,,,,,"
"Great acting and thrilling, interesting plots",interesting plots/great acting/great/thrilling/interesting,great acting,"Good acting,Suspense/Mystery/thrillers,Interesting/engaging,Like the premise/setting/scenery,,,"
nothing I found it odd and confusing a stopped watching it,stopped watching/nothing/found/odd/confusing,,"All negative mentions,,,,,,"
"The mix of genres is interesting, there really is nothing like Westworld, it is uniquely its own show",nothing like westworld/like westworld/nothing like/westworld/interesting,own show/mix,"Other storyline/Plot mentions,Unique/different,,,,,"
The unexpected storylines,unexpected storylines/storylines/unexpected,unexpected,"Suspense/Mystery/thrillers,,,,,,"
I think the main thing that drives me to watch Westworld is trying to figure out who is human and who is a robot. I do like seeing high profile actors in the show. I do like the visuals a lot.,watch westworld/main thing/westworld/robot/westworld is trying,high profile actors/main thing,"Thought provoking,Good cast/actors,Good visuals/graphics/special effects,,,,"
charaters,charaters,,"Appealing characters/I like the characters,,,,,,"
The cast and technology concept of the show,technology concept/show/cast/technology/concept,technology concept,"Good cast/actors,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
I think it would be the complex story line and plot but I couldn't really get into it because I thought season one was boring and confusing,complex story line/complex story/story line/thought season one/plot,complex story line,"All negative mentions,,,,,,"
It is from a brand that produces high quality entertaining shows,quality entertaining shows/produces high quality/high quality entertaining/entertaining shows/produces high,quality entertaining,"High quality show/high production values,Witty/humorous/funny/entertaining,,,,,"
The exploration of AI and big data in a futuristic setting,futuristic setting/big data/setting/exploration/big,big data/futuristic,"Technological aspects (inclusion of robots, exploring AI, etc.),Like the premise/setting/scenery,,,,,"
enjoyed first 2 season but now that they are in the real world its not as interesting.,enjoyed first/real world/enjoyed/interesting/first,enjoyed first/real,"All negative mentions,,,,,,"
i have only started the series and am in season one,season one/one/started/series/season,series,"Have not watched enough to comment/not familiar with the show,,,,,,"
I love the storylines and all the twists and turns. Also the violence and action keeps you emgaged,turns/twists and turns/love/storylines/twists,twists/storylines,"Good storyline/subject matter,Suspense/Mystery/thrillers,Violence,Like the action/adventurous,Interesting/engaging,,"
The multiple story lines,multiple story lines/story lines/multiple story/lines/multiple,story,"Multiple story lines,,,,,,"
The concept of the show. And the acting of the cast is what makes me want to watch it. It's a very good show.,show/good show/concept/acting/cast,good show/show,"Like the concept/idea of futuristic amusement park,Good acting,Good cast/actors,Good/like the show/everything,,,"
The characters and what it is about,characters,,"Appealing characters/I like the characters,,,,,,"
The graphics and effects are awesome but the storyline is just straight up ridiculous,ridiculous/straight up ridiculous/graphics/effects/awesome,effects/graphics,"Good visuals/graphics/special effects,,,,,,"
It’s a good movie,good movie/movie/good,good,"Good/like the show/everything,,,,,,"
It’s got very intriguing story writing that keeps you attentive. I also love all the futuristic aspects to it.,intriguing story writing/intriguing story/story writing/got/attentive,futuristic aspects/story,"Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,Looks realistic,,,,"
all of it really good.,really good/good/really,,"Good/like the show/everything,,,,,,"
Great story lines and character development. Always curious about what's next.,great story lines/great story/character development/story lines/next,character development/story,"Good storyline/subject matter,Like the characters development,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
I really love sci-fi shows,really love sci/love sci/really love/sci/shows,fi,"Science fiction/fantasy,,,,,,"
Just really interesting characters. Dolores specifically is a very unique character with motivations that keep the show engaging,really interesting characters/interesting characters/really interesting/characters/really,unique character/interesting characters,"Appealing characters/I like the characters,Like the character Dolores Abernathy,Interesting/engaging,,,,"
I loved the first two seasons and I want to see where season three leads,season three leads/first two seasons/three leads/first two/two seasons,seasons/first,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
mone,mone,,"None/no answer,,,,,,"
The writing is excellent,excellent/writing is excellent/writing,writing,"Like the writing/dialog,,,,,,"
I like the premise of the show being futuristic and the action involved,action involved/like the premise/involved/like/premise,show/premise,"Like the premise/setting/scenery,Futuristic,Like the action/adventurous,,,,"
Not knowing what is real or fake,fake/real or fake/knowing/real,real,"Suspense/Mystery/thrillers,,,,,,"
Perfect,perfect,,"Good/like the show/everything,,,,,,"
od when you Live Well]? Please write down the,live well/well/live/please write/please,,"None/no answer,,,,,,"
I like the characters and the stories,like the characters/stories/like/characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
Good acting. This year it is difficult to follow,good acting/good/acting/follow/year,good acting,"Good acting,Have not watched enough to comment/not familiar with the show,,,,,"
Its a new and unique concept for a show. The writing and acting make it a good show.,unique concept/good show/show/new/unique,unique concept/show,"Unique/different,Like the writing/dialog,Good acting,Good/like the show/everything,,,"
It is a show unlike any other I've seen and people talk about it. Also fun to explore the theories people have on each week's episode,show unlike/people talk/seen/episode/people,theories people/people/show,"Unique/different,Heard good review/recommendations by family/friends,Witty/humorous/funny/entertaining,,,,"
I really like the unique storylines as well as the acting.,really like/unique storylines/storylines as well/acting/really,unique,"Unique/different,Good storyline/subject matter,Good acting,,,,"
This is a show that is not like any other show on television. It keeps me on my toes and I'm always waiting for a plot twist. It challenges it's viewers to think beyond.,show/television/like/show on television/always waiting,other show/plot/show,"Unique/different,Suspense/Mystery/thrillers,Thought provoking,,,,"
well written story that's different than other series I have watched.,well written story/well written/written story/well/different,other series,"Like the writing/dialog,Unique/different,,,,,"
I like the characters in the show and want to see more of the role they play.,like the characters/play/role they play/like/characters,show/characters,"Appealing characters/I like the characters,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
The only thing that would make me think it's a good show is that it's on HBO and I usually like their shows.,would make/good show/hbo/thing/would,only thing/good,"Good/like the show/everything,Aired on HBO,,,,,"
"its different , the stories inside the story",stories inside/different/story/inside the story/stories,different,"Unique/different,,,,,,"
"Watched original from years ago. Like seeing how AI can be good or bad. ...mostly bad, hope public wakes up.",watched original/years ago/watched/ago/bad,ai/years/original,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
anything,anything,,"Good/like the show/everything,,,,,,"
It is beautifully scripted,beautifully scripted/scripted/beautifully,,"Like the writing/dialog,,,,,,"
I REALLY LOVE ALL OF THE ACTORS AND ACTRESSES ;),really/love/actresses/actors/actors and actresses,actors,"Good cast/actors,,,,,,"
not sure,sure,,"Don't know,,,,,,"
"I began watching the show because I love the acting style of Anthony Hopkins. I kept watching the show because I am drawn to shows that have mystery, intrigue, twisting story lines, and characters that I can root for.",anthony hopkins/acting style/began watching/twisting story lines/hopkins,story lines/anthony hopkins/show,"Other acting mentions,Attention grabbing/holds interest/keeps you wanting to watch more,Suspense/Mystery/thrillers,Good storyline/subject matter,Appealing characters/I like the characters,,"
"I am into West World because I was a big fan of the 70s moving starring Yul Brenner , and I'm definitely interested in this season because they are including a lot of futuristic gadgets.",starring yul brenner/moving starring yul/70s moving starring/yul brenner/west world,yul brenner/big fan/west world,"Already seen/like the original movie,Interesting/engaging,Futuristic,,,,"
This show keeps my guessing every second that I watch it. I'm always on the edge of my seat when watching this show.,guessing every second/guessing every/every second/show keeps/show,second/show,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
i like the new concept for serie,new concept/serie/concept for serie/like/new,new,"Unique/different,,,,,,"
"The show does a great job of character development. Each episode builds upon the other, revealing bit by bit their motivations, fears, and thought process in a seamless fashion.",character development/great job/development/fears/show,seamless fashion/character development/great job,"Appealing characters/I like the characters,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"the characters, the actors and the places where the story takes place",story takes place/takes place/story takes/characters/place,actors/characters,"Appealing characters/I like the characters,Good cast/actors,Like the premise/setting/scenery,,,,"
"it holds your attention, it is something you wait to watch, it is something you can talk to others that watch about",something/attention/watch/holds your attention/holds,attention,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
i love the dramatic setting,dramatic setting/setting/love/dramatic/love the dramatic,dramatic,"Like the drama,,,,,,"
I love the future of technology and how AI is taking over just like some people are warning us about now,love/future/technology/taking/like,technology/future,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Everything,everything,,"Good/like the show/everything,,,,,,"
I heard my mom talk about it and it caught my interest,mom talk/interest/caught my interest/heard/mom,mom,"Heard good review/recommendations by family/friends,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I just really like the futuristic aspect of the show,really like/futuristic aspect/show/really/like,futuristic,"Futuristic,,,,,,"
the acting and storyline,storyline/acting and storyline/acting,acting,"Good acting,Good storyline/subject matter,,,,,"
The overall content,overall content/content/overall,overall,"Like the concept/idea of futuristic amusement park,,,,,,"
Great acting,great acting/great/acting,great,"Good acting,,,,,,"
The quality of the show and storyline,storyline/show and storyline/quality/show,quality,"High quality show/high production values,Good storyline/subject matter,,,,,"
