Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
"Westworld literally plays you. It plays you as assuredly as the skeletal fingers that dance across the piano keys in the title sequence. Each episode draws you in and seduces you with the promise of revelations, before flipping those expectations on their head and delivering something more interesting and finely crafted than you’d thought possible. Not only that, though, Westworld’s episodes subtly seed persistent narrative elements that coalesce when the show is ready to reveal its secrets to the viewer.",westworld literally plays/westworld literally/literally plays/westworld/plays,westworld literally plays,westworld ’s episodes/persistent narrative/title sequence/piano keys/skeletal fingers,westworld ’s episodes/persistent narrative/title sequence/piano keys/skeletal fingers,"Attention grabbing/holds interest/keeps you wanting to watch more,Interesting/engaging,Suspense/Mystery/thrillers,,,,"
i love the cast and the plots. the writers are great and keep me coming back for every single episode. i love it,every single episode/plots/love the cast/love/single episode,every single episode/plots/love the cast,single episode/cast,single episode/cast,"Good cast/actors,Like the premise/setting/scenery,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
I watched the first two seasons,first two seasons/two seasons/first two/seasons/watched,first two seasons/watched,first,first,"Have not watched enough to comment/not familiar with the show,,,,,,"
i like very much,much/like very much/like,like very much,,,"Good/like the show/everything,,,,,,"
its very interesting,interesting,interesting,,,"Interesting/engaging,,,,,,"
i just thnik it is a really interesting and unique show,unique show/really interesting/show/thnik/really,unique show/really interesting/thnik,unique,unique,"Interesting/engaging,Unique/different,,,,,"
offers good service,offers good service/offers good/good service/offers/service,offers good service,good,good,"Other misc. mentions,,,,,,"
the actors and the diologe,diologe/actors,diologe/actors,actors,actors,"Good cast/actors,Like the writing/dialog,,,,,"
"I like the concept of it, it's very interesting and thought-provoking.",provoking/thought/interesting and thought/like/concept,provoking/interesting and thought/like/concept,concept,concept,"Like the concept/idea of futuristic amusement park,Interesting/engaging,Thought provoking,,,,"
I love the action and drama and thandie Newton's character,thandie newton/action and drama/character/newton/love,thandie newton/action and drama/character/love,thandie newton,thandie newton,"Like the action/adventurous,Like the drama,Other characters mentions,,,,"
The interesting sci fi western combination with good writing,good writing/interesting sci/western combination/writing/interesting,good writing/interesting sci/western combination,interesting sci/western,interesting sci/western,"Interesting/engaging,Science fiction/fantasy,Like the writing/dialog,,,,"
Exciting story line,exciting story line/exciting story/story line/exciting/line,exciting story line,story,story,"Exciting,Good storyline/subject matter,,,,,"
None,none,none,,,"None/no answer,,,,,,"
It is very furhurres,furhurres,furhurres,,,"Futuristic,,,,,,"
"I really love the cast as well as the overall storyline. It is so different than anything out right now, and it is so captivating.",overall storyline/really love/cast as well/storyline/really,overall storyline/really love/cast as well,overall storyline,overall storyline,"Good cast/actors,Good storyline/subject matter,Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
I just enjoy it,enjoy,enjoy,,,"Witty/humorous/funny/entertaining,,,,,,"
great,great,great,,,"Good/like the show/everything,,,,,,"
i really liked the movie and spreading beyond that and focuses on things that are relevant to today is exciting,really liked/spreading beyond/exciting/today is exciting/really,really liked/spreading beyond/today is exciting,things/movie,things/movie,"Already seen/like the original movie,Relevant to 21st century/existing in the world today/reflects our current society,,,,,"
very god eay teu more eys fn eys moge oddo,eys moge oddo/god eay teu/moge oddo/god eay/eay teu,eys moge oddo/god eay teu,eys moge/eay teu/eys,eys moge/eay teu,"None/no answer,,,,,,"
The action and the characters,characters/action,characters/action,action,action,"Like the action/adventurous,Appealing characters/I like the characters,,,,,"
it makes you be on the edge of your seat and keeps you guessing about what will happen,happen/makes/edge/seat/keeps,happen/makes/edge/seat/keeps,edge,edge,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The creative and beautiful story telling and environment,beautiful story telling/beautiful story/story telling/environment/telling and environment,beautiful story telling/telling and environment,beautiful story,beautiful story,"Creative/innovative/modern,Good storyline/subject matter,Other misc. mentions,,,,"
The concept and the aesthetic of the setting appeals to me,setting appeals/concept/aesthetic/setting/appeals,setting appeals/concept/aesthetic,concept,concept,"Like the concept/idea of futuristic amusement park,Like the premise/setting/scenery,,,,,"
New lines,new lines/new/lines,new lines,new,new,"Unique/different,,,,,,"
What makes it a good show is that it strings you along so easily that I can't not watch. It has a future that is very crazy to think about and that is what draws you in.,good show/watch/makes/good/show,good show/watch/makes,good show,good show,"Futuristic,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Interesting concepts and constant world changing,constant world changing/interesting concepts/world changing/constant world/interesting,constant world changing/interesting concepts,interesting concepts,interesting concepts,"Interesting/engaging,Like the concept/idea of futuristic amusement park,Other show type mentions,,,,"
overall this is a really great show nand i would say that it is one of the best shows that is currently in the market,really great show/great show nand/really great/great show/show nand,really great show/great show nand,best shows/show,best shows,"Good/like the show/everything,,,,,,"
"i think its a unique and original type of show, as well as that its futuristic",original type/show/futuristic/type of show/think,original type/futuristic/type of show/think,original type,original type,"Unique/different,Original,Futuristic,,,,"
The overall story and the actors involved.,actors involved/overall story/involved/overall/story,actors involved/overall story,overall,overall,"Good storyline/subject matter,Good cast/actors,,,,,"
each character feel like they could be the main character of the show,character feel like/feel like/character feel/main character/show,character feel like/main character/show,character,character,"Appealing characters/I like the characters,,,,,,"
It's a good ahow,good ahow/ahow/good,good ahow,good,good,"Good/like the show/everything,,,,,,"
It is more entertaining when talking about artificial intelligence between the ties of the characters,artificial intelligence/characters/entertaining/talking/artificial,artificial intelligence/characters/entertaining/talking,artificial intelligence,artificial intelligence,"Witty/humorous/funny/entertaining,Technological aspects (inclusion of robots, exploring AI, etc.),Like the characters development,,,,"
sci fi mixed with western and different cultures mixed in,different cultures mixed/different cultures/cultures mixed/sci/mixed,different cultures mixed/sci,different cultures/fi,different cultures/fi,"Science fiction/fantasy,Other storyline/Plot mentions,,,,,"
It’s fantastic show that I ever watch it.,fantastic show/ever watch/fantastic/show/ever,fantastic show/ever watch,fantastic,fantastic,"Good/like the show/everything,,,,,,"
the thrilling action,thrilling action/action/thrilling,thrilling action,thrilling,thrilling,"Like the action/adventurous,,,,,,"
vbfg,vbfg,vbfg,,,"None/no answer,,,,,,"
Futuristic elements that seem real because of the great character development,great character development/futuristic elements/character development/seem real/great character,great character development/futuristic elements/seem real,futuristic elements/character,futuristic elements/character,"Futuristic,Like the characters development,,,,,"
"It is a great series, it has a great special effect and the best written shows does it all at once. Westworld is very unique",best written shows/great special effect/great series/special effect/best written,best written shows/great special effect/great series,great special effect/great series,great special effect/great series,"Good/like the show/everything,Good visuals/graphics/special effects,Like the writing/dialog,Unique/different,,,"
"What makes it a good show is that it genuinely explores the cynical, violent relationship that humans have for others people, other things, and the desire to dehumanize all in the name of self-indulgence. I really enjoyed season 3 by how it goes beyond just the parks into almost replicant infiltration into our society.",violent relationship/others people/good show/genuinely explores/really enjoyed season,violent relationship/others people/good show/genuinely explores/really enjoyed season,other things/others people/violent relationship/good show/replicant,other things/others people/violent relationship/good show/replicant,"Other storyline/Plot mentions,Witty/humorous/funny/entertaining,Relevant to 21st century/existing in the world today/reflects our current society,,,,"
It’s just interesting eith nothing like it out their,interesting eith nothing/eith nothing like/interesting eith/eith nothing/nothing like,interesting eith nothing/eith nothing like,interesting,interesting,"Interesting/engaging,,,,,,"
the story of the show is great .that s why i like it very much,great/show is great/story/show/much,show is great/story/much,show/story,show/story,"Good storyline/subject matter,Good/like the show/everything,,,,,"
Husband likes it,husband likes/husband/likes,husband likes,,,"Good/like the show/everything,,,,,,"
great writing with complex characters,great writing/complex characters/great/characters/writing,great writing/complex characters,great writing,great writing,"Like the writing/dialog,Like the character complexity,,,,,"
I like the idea that westworld is a theme park and all the technology there is to give it that perfect touch of the old west. The theme of the hosts is very interesting,old west/perfect touch/theme park/west/theme,old west/perfect touch/theme park,perfect touch/theme park/theme/old,perfect touch/theme park/old,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Other acting mentions,,,,"
"His good controversial story, where he causes empathy with his characters ad that makes him want to see more",good controversial story/controversial story/good controversial/causes empathy/story,good controversial story/causes empathy,characters ad/controversial,characters ad/controversial,"Other storyline/Plot mentions,Other characters mentions,,,,,"
nothing more than whats being done now,nothing/done,nothing/done,,,"Good/like the show/everything,,,,,,"
the sci fi and action,action/sci,action/sci,sci,sci,"Science fiction/fantasy,Like the action/adventurous,,,,,"
I don’t know,know,know,,,"Don't know,,,,,,"
Westworld is good because there is a lot of material to work with and is not a generic plot line. The cast and the writing make the show.,generic plot line/plot line/generic plot/westworld/line,generic plot line/westworld,generic plot line/good/westworld,generic plot line/good/westworld,"Good/like the show/everything,Informative/detailed,Good cast/actors,Like the writing/dialog,,,"
"The acting, characters, plot",characters/plot/acting,characters/plot/acting,acting,acting,"Good acting,Good storyline/subject matter,,,,,"
The character interactions.,character interactions/interactions/character,character interactions,character,character,"Like the characters interaction,,,,,,"
werujiuhgfrdswetgyhujygfswetghujhgfdesdghjmhgvfcdx,werujiuhgfrdswetgyhujygfswetghujhgfdesdghjmhgvfcdx,werujiuhgfrdswetgyhujygfswetghujhgfdesdghjmhgvfcdx,,,"None/no answer,,,,,,"
i like the idea of people interacting with AI robots,people interacting/robots/like/idea/people,people interacting/robots/like/idea,ai robots,ai robots,"Like the characters interaction,,,,,,"
it was so great,great,great,,,"Good/like the show/everything,,,,,,"
none,none,none,,,"None/no answer,,,,,,"
i like the story,story/like the story/like,like the story,,,"Good storyline/subject matter,,,,,,"
The idea that there are AI all over & you can't tell who is who.,tell/idea,tell/idea,idea,idea,"Technological aspects (inclusion of robots, exploring AI, etc.),Suspense/Mystery/thrillers,,,,,"
constant twist and turns in the plot,constant twist/constant/plot/twist/turns,constant twist/plot/turns,constant,constant,"Suspense/Mystery/thrillers,,,,,,"
The developing storyline. How it explores how each character has arrived at this point,developing storyline/storyline/developing/point/explores,developing storyline/point/explores,storyline,storyline,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
the cast,cast,cast,,,"Good cast/actors,,,,,,"
always unexpected. makes you work and think while watching. Intelligent,always unexpected/always/unexpected/intelligent/makes,always unexpected/intelligent/makes,unexpected,unexpected,"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
How it takes place and the whole story line,whole story line/story line/takes place/whole story/line,whole story line/takes place,whole story,whole story,"Good storyline/subject matter,,,,,,"
GOOD,good,good,,,"Good/like the show/everything,,,,,,"
The story line and the character's,story line/character/story/line,story line/character,story,story,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
I'm a fan of sci-fi. And this sci-fi is excellent,sci/fan/fan of sci/excellent,fan of sci/excellent,sci/fan,sci/fan,"Science fiction/fantasy,,,,,,"
I watch it sometimes because my boyfriend likes it.,boyfriend likes/watch/sometimes/boyfriend/likes,boyfriend likes/watch/sometimes,,,"Have not watched enough to comment/not familiar with the show,,,,,,"
It is made so well - and the action is big and gory - I like the actors too,well/gory/made so well/big and gory/made,made so well/big and gory,big/action,big/action,"Other show characteristic mentions,Like the action/adventurous,Violence,Good cast/actors,,,"
There is nothing else like it and it feels that our world is headed in the same direction. all the data and privacy issues and people at the top always win and us at the bottom can't even get a job. Feels like we don't have a choice sometimes.,nothing else like/nothing else/else like/top always win/direction,nothing else like/top always win/direction,privacy issues/same direction/world,privacy issues/same direction/world,"Other storyline/Plot mentions,,,,,,"
The story,story,story,,,"Good storyline/subject matter,,,,,,"
I like to binge watch. It has an interesting storyline that keeps me engaged.,binge watch/watch/like/binge/engaged,binge watch/like/engaged,interesting,interesting,"Interesting/engaging,,,,,,"
The unexpected twists are great. The control over our destinies is really thought provoking,unexpected twists/really thought provoking/great/twists are great/thought provoking,unexpected twists/really thought provoking/twists are great,unexpected twists,unexpected twists,"Suspense/Mystery/thrillers,Thought provoking,,,,,"
With all the action and drama that the show has makes it even more interesting to keep watching and waiting for next weeks episode.,next weeks episode/weeks episode/keep watching/next weeks/episode,next weeks episode/keep watching,next weeks episode,next weeks episode,"Like the action/adventurous,Like the drama,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Westworld is amazing one of the best shows ever,best shows ever/shows ever/amazing one/best shows/westworld,best shows ever/amazing one/westworld,best shows,best shows,"Good/like the show/everything,,,,,,"
its sees too good than other movie or other series so its too good than other things really it was too good,good/series/sees/movie/things,good/series/sees/movie/things,other movie/other,other movie,"Good/like the show/everything,,,,,,"
Thinking about if this canreally happen in the future.,canreally happen/thinking/future/canreally/happen,canreally happen/thinking/future,,,"Futuristic,,,,,,"
"The characters are interesting, and the hosts finally gaining their own agency is exciting to watch.",hosts finally gaining/hosts finally/finally gaining/interesting/watch,hosts finally gaining/interesting/watch,own agency/characters,own agency/characters,"Appealing characters/I like the characters,Exciting,,,,,"
Just a fun story line,fun story line/story line/fun story/line/fun,fun story line,story,story,"Witty/humorous/funny/entertaining,,,,,,"
Mostly the cast and production value.,production value/mostly/value/mostly the cast/cast,production value/mostly the cast,production,production,"Good cast/actors,High quality show/high production values,,,,,"
A.I. becomes real with emotions like humans and can be reprogrammed. The future of being there be kinda weird.,emotions like humans/becomes real/emotions like/like humans/becomes,emotions like humans/becomes real,kinda weird/a.i.,kinda weird/a.i.,"All negative mentions,,,,,,"
The futuristic possibilities make it a good show,futuristic possibilities make/good show/possibilities make/show/futuristic,futuristic possibilities make/good show,futuristic possibilities,futuristic possibilities,"Futuristic,Good/like the show/everything,,,,,"
I like the idea of artificial intelligence and the cruelty of mankind that this show brings to light,artificial intelligence/show brings/light/brings to light/like,artificial intelligence/show brings/brings to light/like,artificial intelligence/idea,artificial intelligence/idea,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Other realistic/association with real life mentions,,,,"
"Complex ideas, interesting world and characters",complex ideas/interesting world/complex/ideas/interesting,complex ideas/interesting world,complex ideas,complex ideas,"Complex storyline,Interesting/engaging,Like the premise/setting/scenery,Appealing characters/I like the characters,,,"
Westworld,westworld,westworld,,,"Good/like the show/everything,,,,,,"
My husband watches it and I’m in the room,husband watches/husband/watches/room,husband watches/room,husband,husband,"Have not watched enough to comment/not familiar with the show,,,,,,"
It makes a good show because it’s something different I haven’t seen on tv before,something different/good show/something/seen/makes,something different/good show/seen/makes,good show,good show,"Good/like the show/everything,Unique/different,,,,,"
the original movie,original movie/movie/original,original movie,original,original,"Already seen/like the original movie,,,,,,"
It always has me thinking,thinking/always,thinking/always,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"I think Westworld is interesting because I think that our world could end up looking like this very soon. Artificial intelligence is quite interesting to me. Who knows where we're going to end up. I don't know if we will treat robots this way, but I feel like it's a possibility.",think westworld/world could end/world could/could end/westworld,think westworld/world could end,artificial intelligence/interesting/westworld,artificial intelligence/interesting/westworld,"Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
greart,greart,greart,,,"Good/like the show/everything,,,,,,"
the show is totally different. i love everything about the show. i like shows that are unique,totally different/different/show/totally/love everything,totally different/show/love everything,different/show,different/show,"Unique/different,Good/like the show/everything,,,,,"
weqrweqrcwercweqrcwerqwerrcweqrcqwerc,weqrweqrcwercweqrcwerqwerrcweqrcqwerc,weqrweqrcwercweqrcwerqwerrcweqrcqwerc,,,"None/no answer,,,,,,"
Seeing the plot developments and what happens to the characters.,plot developments/seeing/characters/seeing the plot/plot,plot developments/characters/seeing the plot,plot,plot,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The line between morality for a character that is not technically alive,technically alive/alive/line/morality/character,technically alive/line/morality/character,morality/line,morality/line,"Other misc. mentions,,,,,,"
The complex characters and twisty turny story,twisty turny story/turny story/complex characters/twisty turny/story,twisty turny story/complex characters,turny/complex,turny/complex,"Like the character complexity,Suspense/Mystery/thrillers,,,,,"
like sci-fi,like sci/like/sci,like sci,sci,sci,"Science fiction/fantasy,,,,,,"
"I was very interested in season one. I did not automatically love the show, but I was always wondering what would happen in the next episode. Season two was disappointing to me and I lost some of my overall interest. However, I really liked the story lines with Shogun World and the Ghost Nation. I was even less interested in season three - I miss the parks and I think they left the parks too early in the series. I don't care about the real world as much.",season one/season/ghost nation/one/shogun world,season one/ghost nation/shogun world,story lines/overall interest/next episode/world/ghost,story lines/overall interest/next episode/world/ghost,"All negative mentions,,,,,,"
I like the genre and the exploration of potential future worlds,potential future worlds/future worlds/like the genre/potential future/worlds,potential future worlds/like the genre,potential future,potential future,"Like the genre,Futuristic,,,,,"
"great plot twists, good acting",great plot twists/good acting/great plot/plot twists/great,great plot twists/good acting,plot/good,plot/good,"Suspense/Mystery/thrillers,Good cast/actors,,,,,"
It focuses on a futuristic story line but still has old western elements,old western elements/futuristic story line/western elements/futuristic story/story line,old western elements/futuristic story line,futuristic story/western,futuristic story/western,"Futuristic,Good storyline/subject matter,Western aspect,,,,"
see what new challenge you are in and how you can face it or what it brings,new challenge/see/brings/see what new/new,new challenge/brings/see what new,new,new,"Relevant to 21st century/existing in the world today/reflects our current society,,,,,,"
The inclusion of robots and artificial intelligence. The depiction of the world and how it relates to our current world. Wish it would explore the futuristic elements more.,artificial intelligence/intelligence/inclusion/robots/artificial,artificial intelligence/inclusion/robots,current world/artificial intelligence/world,current world/artificial intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),Relevant to 21st century/existing in the world today/reflects our current society,Futuristic,,,,"
Some of my friends are watching it,friends/watching/friends are watching,friends are watching,,,"Heard good review/recommendations by family/friends,,,,,,"
The story and characters,characters/story and characters/story,story and characters,story,story,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The performance of its protagonists in special the performance of ed harris and the plot as such of the series,performance/series/protagonists/special/harris,performance/series/protagonists/special/harris,ed harris/protagonists/performance,ed harris/protagonists/performance,"Good acting,Like Ed Harris,Good storyline/subject matter,,,,"
It is very intriguing and good.,good/intriguing and good/intriguing,intriguing and good,intriguing,intriguing,"Interesting/engaging,Good/like the show/everything,,,,,"
A VERY NICE CLEAR IMAGE AND SCENE AND THRILLING PLOT THAT MAKE YOU THINK AND I LIKE THE CHARACTERS,nice clear image/nice clear/clear image/image and scene/thrilling plot,nice clear image/image and scene/thrilling plot,nice clear image,nice clear image,"Good visuals/graphics/special effects,Suspense/Mystery/thrillers,Like the premise/setting/scenery,Thought provoking,Appealing characters/I like the characters,,"
i seen previous seasons,seen previous seasons/previous seasons/seen previous/seasons/seen,seen previous seasons,previous,previous,"Have not watched enough to comment/not familiar with the show,,,,,,"
i like it very much this story,story/much this story/like/much,much this story/like,,,"Good/like the show/everything,Good storyline/subject matter,,,,,"
some of the characters,characters,characters,,,"Appealing characters/I like the characters,,,,,,"
Not sure if I understand your question.,question/understand your question/sure/understand,understand your question/sure,sure,sure,"Don't know,,,,,,"
I like the setting. I really enjoy seeing the air as a new species of life,setting/like the setting/really enjoy seeing/like/really enjoy,like the setting/really enjoy seeing,new species,new species,"Like the premise/setting/scenery,Witty/humorous/funny/entertaining,,,,,"
nothing specific,nothing specific/nothing/specific,nothing specific,,,"None/no answer,,,,,,"
A good show for family.,good show/family/show for family/good/show,good show/show for family,good,good,"Good/like the show/everything,Can watch with family/family likes the show,,,,,"
The other world theme. The idea that we can create artificial intelligence that is essentially human. So human it make you feel bad for the machines.,world theme/theme/create artificial intelligence/world/human,world theme/create artificial intelligence/human,other world/artificial intelligence,other world/artificial intelligence,"Like the concept/idea of futuristic amusement park,Technology involvement/overpowering human life,,,,,"
Good,good,good,,,"Good/like the show/everything,,,,,,"
It is visually stunning. The story line is intriguing. They consistently have super talented actors.,visually stunning/stunning/visually/story line/super talented actors,visually stunning/story line/super talented actors,story line/talented,story line/talented,"Good visuals/graphics/special effects,Interesting/engaging,Good cast/actors,,,,"
Storyline,storyline,storyline,,,"Good storyline/subject matter,,,,,,"
I think the character development and script are amazing. I also like that the storyline is always really interesting and there’s never a dull moment.,character development/amazing/script are amazing/think/character,character development/script are amazing/think,dull moment/character development,dull moment/character development,"Like the characters development,Good storyline/subject matter,Interesting/engaging,,,,"
yes,yes,yes,,,"None/no answer,,,,,,"
I don't really care for watching it anymore because season 2 was a cluster *&@!# and made the show *&@!#,really care/really/cluster/care/watching,really care/cluster/watching,season,season,"All negative mentions,,,,,,"
I think the cast,cast/think the cast/think,think the cast,,,"Good cast/actors,,,,,,"
"It keeps me wondering what the heck is going on, so I watch to figure it out",keeps/wondering/heck/going/watch,keeps/wondering/heck/going/watch,,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
the action,action,action,,,"Like the action/adventurous,,,,,,"
"The sci fi aspect, I enjoy the characters and Wild West mixed with robots.",wild west mixed/wild west/west mixed/wild/west,wild west mixed,wild west/fi,wild west/fi,"Science fiction/fantasy,Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
I like it because it’s not like other shows I like that is is engaging and interesting. They whole idea of the show has always reminded me of a Dream world,like/dream world/shows/like other shows/dream,dream world/like other shows,whole idea/other shows,whole idea/other shows,"Interesting/engaging,Like the concept/idea of futuristic amusement park,,,,,"
nothing,nothing,nothing,,,"None/no answer,,,,,,"
The plot is very different but not crazy enough for audience to not understand. Nice twists as well in the storyline.,crazy enough/understand/nice twists/plot/different,crazy enough/understand/nice twists/plot/different,nice twists/plot,nice twists/plot,"Unique/different,Suspense/Mystery/thrillers,,,,,"
the acting. the sci-fi storyline. the complex storyline. I want to know what is going on.,acting/storyline/complex storyline/sci/complex,acting/complex storyline/sci,fi storyline/storyline,fi storyline,"Good acting,Science fiction/fantasy,Complex storyline,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
it was good,good,good,,,"Good/like the show/everything,,,,,,"
The story and human reality,human reality/reality/story/human/story and human,human reality/story and human,human,human,"Good storyline/subject matter,Looks realistic,,,,,"
The not knowing part,knowing part/part/knowing,knowing part,,,"Suspense/Mystery/thrillers,,,,,,"
it was cool,cool,cool,,,"Good/like the show/everything,,,,,,"
greet,greet,greet,,,"Good/like the show/everything,,,,,,"
n/a,None,None,,,"None/no answer,,,,,,"
the story of the show and how it is going.,going/story/show,going/story/show,story,story,"Good storyline/subject matter,Suspense/Mystery/thrillers,,,,,"
I like to watch,watch/like to watch/like,like to watch,,,"Good/like the show/everything,,,,,,"
"I truly love the way they interweave the artificial intelligence aspect with real life struggles and the robots' desire to become liberated. It's an aspect that every feeling, thinking human being longs for and apparently so do robots when they're created by humans who understand that. Westworld, for me is the complete understanding that if you create it and then break it, you have to fix it or make it better. There's also a privacy issue at stake in this movie that is a little concerning to me.",real life struggles/artificial intelligence aspect/become liberated/truly love/artificial intelligence,real life struggles/artificial intelligence aspect/become liberated/truly love,real life struggles/artificial intelligence aspect/privacy issue/complete understanding/aspect,real life struggles/artificial intelligence aspect/privacy issue/complete understanding,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The characters and the story line. I love Bernard and Delores.,story line/line/love bernard/delores/characters,story line/love bernard/delores/characters,story line,story line,"Appealing characters/I like the characters,Good storyline/subject matter,Other characters mentions,Like the character Dolores Abernathy,,,"
"I love the concept of AI beings achieving sentience, and the cast is amazing individually and together. The evolving issues and pace are perfect and draw you in like good sci-fi used to do.",beings achieving sentience/achieving sentience/beings achieving/amazing individually/like good sci,beings achieving sentience/amazing individually/like good sci,good sci/ai beings/sentience/concept,good sci/ai beings/sentience/concept,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,Other show characteristic mentions,Attention grabbing/holds interest/keeps you wanting to watch more,Science fiction/fantasy,"
hbbyuy,hbbyuy,hbbyuy,,,"None/no answer,,,,,,"
Compelling characters and great story lines!,great story lines/compelling characters/story lines/great story/compelling,great story lines/compelling characters,story/compelling,story/compelling,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
Never know what's going to happen. It keeps me guessing.,never know/never/going/happen/going to happen,never know/going to happen,,,"Suspense/Mystery/thrillers,,,,,,"
It's unique,unique,unique,,,"Unique/different,,,,,,"
it compels you to keep following looking for explanations and answers,keep following looking/keep following/following looking/answers/explanations and answers,keep following looking/explanations and answers,explanations,explanations,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
it grabs my attention from beginning to end of every episode,every episode/episode/grabs/attention/beginning,every episode/grabs/attention/beginning,attention,attention,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The writing and story line MADE it a good show. Now the writing and story line is terrible. Stopped watching halfway through the second episode of the new season.,story line made/line made/good show/story line/made,story line made/good show,good show/story line/second,good show/story line/second,"Good storyline/subject matter,Like the writing/dialog,,,,,"
THrilling show.very interested,thrilling/interested,thrilling/interested,,,"Suspense/Mystery/thrillers,Interesting/engaging,,,,,"
good quality acting. love sci fi shows in general. Love the way the robots think/act so much like humans but are completely different in motivations. Want to see what happens next.,good quality acting/good quality/quality acting/good/acting,good quality acting,love sci fi/good quality acting/love,love sci fi/good quality acting,"Good acting,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,,,"
The characters in the show and the story line.,story line/line/characters/show/story,story line/characters/show,story line,story line,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
na,None,None,,,"None/no answer,,,,,,"
LOVE DELORES ROLE,love delores role/love delores/delores role/love/role,love delores role,delores,delores,"Like the character Dolores Abernathy,,,,,,"
