src	keywords
i love the characters and the storyline. it always keeps me on the edge	"Appealing characters/I like the characters,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
I LOVE THE DIFFERENT STORYLINES AND THE ACTORS	"Multiple story lines,Good cast/actors,,,,,"
Its such a wild fantasy that was put in to a good cinema	"Science fiction/fantasy,,,,,,"
The idea of it is interesting .	"Like the concept/idea of futuristic amusement park,,,,,,"
It is a genre that I enjoy. It is suspenseful and has you very immersed in the shoe	"Like the genre,Witty/humorous/funny/entertaining,Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
The opening song and images because it depicts a futuristic ability which indicates the shows contents.	"Like the music/song,Good visuals/graphics/special effects,Futuristic,,,,"
"it is the best current show, the best theme, impeccable performance, I love science fiction"	"Good/like the show/everything,Good storyline/subject matter,Good acting,Science fiction/fantasy,,,"
the acting is really great and feels real and the story and world they live in is pretty wild and I love to see the future	"Good acting,Looks realistic,Good storyline/subject matter,Futuristic,,,"
"I like the complexity of the show, the imagination of the writers."	"Complex storyline,,,,,,"
The storyline of Westworld draws me to watch more episodes.	"Good storyline/subject matter,,,,,,"
I stopped watching the show after season one so this question has no answer.	"Have not watched enough to comment/not familiar with the show,,,,,,"
scifi	"Science fiction/fantasy,,,,,,"
excitement band different	"Exciting,Unique/different,,,,,"
friends recommendation	"Heard good review/recommendations by family/friends,,,,,,"
"This show is well acted, has beautiful scenery, some good special effects, a convoluted story line, with twists. This series involves some of the most talented writers and actors of our generation."	"Good acting,Like the premise/setting/scenery,Good visuals/graphics/special effects,Suspense/Mystery/thrillers,Like the writing/dialog,Good cast/actors,"
the action scenes and the story	"Like the action/adventurous,Good storyline/subject matter,,,,,"
I haven't watched it in a few seasons so I'm not sure	"Have not watched enough to comment/not familiar with the show,,,,,,"
I love the storyline. It's stupendous and wonderful	"Good storyline/subject matter,,,,,,"
the staring cast and the story lines	"Good cast/actors,Good storyline/subject matter,,,,,"
Mostly the production value and the music	"High quality show/high production values,Like the music/song,,,,,"
Is unique and unlike anythign else on television	"Unique/different,,,,,,"
Season 3 is nothing like the first two and I am almost ready to stop watching the show	"All negative mentions,,,,,,"
Nothing	"None/no answer,,,,,,"
I like that it takes place in a unique world that lets me get away and get involved into the characters lives and stories.	"Unique/different,Like the premise/setting/scenery,Appealing characters/I like the characters,,,,"
I enjoy the plot twists and puzzles	"Suspense/Mystery/thrillers,,,,,,"
The music fitting the scenes	"Like the music/song,,,,,,"
"I love the detail of the show, it puts me in suspense."	"Informative/detailed,Suspense/Mystery/thrillers,,,,,"
My friends are talking about it. Seems interesting as to what the “robots” will do next after getting out but I’m not a big fan of si-fi don’t watch it enough to keep up	"Heard good review/recommendations by family/friends,Have not watched enough to comment/not familiar with the show,,,,,"
I enjoy that there are always twists and turns. Thandie Newtons character is amazing. She is strong and determined.	"Suspense/Mystery/thrillers,Other characters mentions,,,,,"
It really intrigues me. I like following the characters and story line.	"Interesting/engaging,Appealing characters/I like the characters,Good storyline/subject matter,,,,"
I like the characters and the actors who play them	"Appealing characters/I like the characters,Good cast/actors,,,,,"
I like shows that intentiobally cibfuse and make you think	"Thought provoking,,,,,,"
The characters of the show draws me in and the scenery of the show	"Appealing characters/I like the characters,Like the premise/setting/scenery,,,,,"
Very thought provoking and unlike anything else on tv	"Thought provoking,Unique/different,,,,,"
Nothing	"None/no answer,,,,,,"
The idea of technology advancing beyond its program and the dangers it can result in	"Technological aspects (inclusion of robots, exploring AI, etc.),Technology involvement/overpowering human life,,,,,"
How it’s so unlike anything else I’ve seen.	"Unique/different,,,,,,"
"The excellent acting, the writing and dialogue, and the characters. Also the exploration of themes like big data and privacy, which are super relevant now."	"Good acting,Like the writing/dialog,Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),Relevant to 21st century/existing in the world today/reflects our current society,,"
its to good and i like it very much	"Good/like the show/everything,,,,,,"
it has some really interesting perspectives and ideas that they explore in cool and interesting ways.	"Interesting/engaging,Like the concept/idea of futuristic amusement park,,,,,"
It has a good story line but was too slow for me	"Good storyline/subject matter,,,,,,"
is good	"Good/like the show/everything,,,,,,"
Its all good	"Good/like the show/everything,,,,,,"
"Great acting and thrilling, interesting plots"	"Good acting,Suspense/Mystery/thrillers,Interesting/engaging,Like the premise/setting/scenery,,,"
nothing I found it odd and confusing a stopped watching it	"All negative mentions,,,,,,"
"The mix of genres is interesting, there really is nothing like Westworld, it is uniquely its own show"	"Other storyline/Plot mentions,Unique/different,,,,,"
The unexpected storylines	"Suspense/Mystery/thrillers,,,,,,"
I think the main thing that drives me to watch Westworld is trying to figure out who is human and who is a robot. I do like seeing high profile actors in the show. I do like the visuals a lot.	"Thought provoking,Good cast/actors,Good visuals/graphics/special effects,,,,"
charaters	"Appealing characters/I like the characters,,,,,,"
The cast and technology concept of the show	"Good cast/actors,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
I think it would be the complex story line and plot but I couldn't really get into it because I thought season one was boring and confusing	"All negative mentions,,,,,,"
It is from a brand that produces high quality entertaining shows	"High quality show/high production values,Witty/humorous/funny/entertaining,,,,,"
The exploration of AI and big data in a futuristic setting	"Technological aspects (inclusion of robots, exploring AI, etc.),Like the premise/setting/scenery,,,,,"
enjoyed first 2 season but now that they are in the real world its not as interesting.	"All negative mentions,,,,,,"
i have only started the series and am in season one	"Have not watched enough to comment/not familiar with the show,,,,,,"
I love the storylines and all the twists and turns. Also the violence and action keeps you emgaged	"Good storyline/subject matter,Suspense/Mystery/thrillers,Violence,Like the action/adventurous,Interesting/engaging,,"
The multiple story lines	"Multiple story lines,,,,,,"
The concept of the show. And the acting of the cast is what makes me want to watch it. It's a very good show.	"Like the concept/idea of futuristic amusement park,Good acting,Good cast/actors,Good/like the show/everything,,,"
The characters and what it is about	"Appealing characters/I like the characters,,,,,,"
The graphics and effects are awesome but the storyline is just straight up ridiculous	"Good visuals/graphics/special effects,,,,,,"
It’s a good movie	"Good/like the show/everything,,,,,,"
It’s got very intriguing story writing that keeps you attentive. I also love all the futuristic aspects to it.	"Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,Looks realistic,,,,"
all of it really good.	"Good/like the show/everything,,,,,,"
Great story lines and character development. Always curious about what's next.	"Good storyline/subject matter,Like the characters development,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
I really love sci-fi shows	"Science fiction/fantasy,,,,,,"
Just really interesting characters. Dolores specifically is a very unique character with motivations that keep the show engaging	"Appealing characters/I like the characters,Like the character Dolores Abernathy,Interesting/engaging,,,,"
I loved the first two seasons and I want to see where season three leads	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
mone	"None/no answer,,,,,,"
The writing is excellent	"Like the writing/dialog,,,,,,"
I like the premise of the show being futuristic and the action involved	"Like the premise/setting/scenery,Futuristic,Like the action/adventurous,,,,"
Not knowing what is real or fake	"Suspense/Mystery/thrillers,,,,,,"
Perfect	"Good/like the show/everything,,,,,,"
od when you Live Well]? Please write down the	"None/no answer,,,,,,"
I like the characters and the stories	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
Good acting. This year it is difficult to follow	"Good acting,Have not watched enough to comment/not familiar with the show,,,,,"
Its a new and unique concept for a show. The writing and acting make it a good show.	"Unique/different,Like the writing/dialog,Good acting,Good/like the show/everything,,,"
It is a show unlike any other I've seen and people talk about it. Also fun to explore the theories people have on each week's episode	"Unique/different,Heard good review/recommendations by family/friends,Witty/humorous/funny/entertaining,,,,"
I really like the unique storylines as well as the acting.	"Unique/different,Good storyline/subject matter,Good acting,,,,"
This is a show that is not like any other show on television. It keeps me on my toes and I'm always waiting for a plot twist. It challenges it's viewers to think beyond.	"Unique/different,Suspense/Mystery/thrillers,Thought provoking,,,,"
well written story that's different than other series I have watched.	"Like the writing/dialog,Unique/different,,,,,"
I like the characters in the show and want to see more of the role they play.	"Appealing characters/I like the characters,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
The only thing that would make me think it's a good show is that it's on HBO and I usually like their shows.	"Good/like the show/everything,Aired on HBO,,,,,"
"its different , the stories inside the story"	"Unique/different,,,,,,"
"Watched original from years ago. Like seeing how AI can be good or bad. ...mostly bad, hope public wakes up."	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
anything	"Good/like the show/everything,,,,,,"
It is beautifully scripted	"Like the writing/dialog,,,,,,"
I REALLY LOVE ALL OF THE ACTORS AND ACTRESSES ;)	"Good cast/actors,,,,,,"
not sure	"Don't know,,,,,,"
"I began watching the show because I love the acting style of Anthony Hopkins. I kept watching the show because I am drawn to shows that have mystery, intrigue, twisting story lines, and characters that I can root for."	"Other acting mentions,Attention grabbing/holds interest/keeps you wanting to watch more,Suspense/Mystery/thrillers,Good storyline/subject matter,Appealing characters/I like the characters,,"
"I am into West World because I was a big fan of the 70s moving starring Yul Brenner , and I'm definitely interested in this season because they are including a lot of futuristic gadgets."	"Already seen/like the original movie,Interesting/engaging,Futuristic,,,,"
This show keeps my guessing every second that I watch it. I'm always on the edge of my seat when watching this show.	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
i like the new concept for serie	"Unique/different,,,,,,"
"The show does a great job of character development. Each episode builds upon the other, revealing bit by bit their motivations, fears, and thought process in a seamless fashion."	"Appealing characters/I like the characters,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"the characters, the actors and the places where the story takes place"	"Appealing characters/I like the characters,Good cast/actors,Like the premise/setting/scenery,,,,"
"it holds your attention, it is something you wait to watch, it is something you can talk to others that watch about"	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
i love the dramatic setting	"Like the drama,,,,,,"
I love the future of technology and how AI is taking over just like some people are warning us about now	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Everything	"Good/like the show/everything,,,,,,"
I heard my mom talk about it and it caught my interest	"Heard good review/recommendations by family/friends,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I just really like the futuristic aspect of the show	"Futuristic,,,,,,"
the acting and storyline	"Good acting,Good storyline/subject matter,,,,,"
The overall content	"Like the concept/idea of futuristic amusement park,,,,,,"
Great acting	"Good acting,,,,,,"
The quality of the show and storyline	"High quality show/high production values,Good storyline/subject matter,,,,,"
I enjoy sci fi and AI. This show is very interesting to me	"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,,,,"
the characters are well selected. They can act and i feel engaged with the storyline	"Appealing characters/I like the characters,Good acting,Interesting/engaging,,,,"
perspectives of both the androids and the humans is appealing to me. The plot twist will leave you wondering whats next.	"Attention grabbing/holds interest/keeps you wanting to watch more,Suspense/Mystery/thrillers,,,,,"
love this series	"Good/like the show/everything,,,,,,"
"The acting, the writing, and I love that it makes you pay attention and think."	"Good acting,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Nothing	"None/no answer,,,,,,"
i love the characters in the movire	"Appealing characters/I like the characters,,,,,,"
It has a thrilling and dramatic storyline that is unique and is never predictable.	"Suspense/Mystery/thrillers,Like the drama,Good storyline/subject matter,Unique/different,,,"
"It is very confusing, overall, but trying to figure it out is interesting. It is a bit like the show Lost in that way. I like the idea of AI and especially the character of Dolores."	"Thought provoking,Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),Like the character Dolores Abernathy,,,"
Proragonist and Antagonist co frontation	"Other misc. mentions,,,,,,"
Unique ness	"Unique/different,,,,,,"
"It is unique, grasping, intelligent, interesting, with a lot of twists and turns"	"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,Other show characteristic mentions,Interesting/engaging,Suspense/Mystery/thrillers,,"
It's a surprise at every turn. You're not sure whose right and who's wrong	"Suspense/Mystery/thrillers,,,,,,"
Aaron Paul is what made me watch it in the first place. I like the story lines that makes the show interesting every week.	"Like Aaron Paul,Good storyline/subject matter,Interesting/engaging,,,,"
You don't always know who is good or bad.	"Suspense/Mystery/thrillers,,,,,,"
"A lot of my friends watch this show, so I like that we can get together and talk about it."	"Heard good review/recommendations by family/friends,,,,,,"
I watched the original Westworld in the seventies. I like seeing the updated and recreation of that brand. I like the premise of A.I or robots turning on humans. I like the setting of an amusement park where I think people become more entitled and self absorbed. It’s a very interesting setting to have artificial turn on humans. I like the unsettling nature of the show and the survival aspect. I kind of like the darkness of the stories.	"Already seen/like the original movie,Other misc. mentions,Technological aspects (inclusion of robots, exploring AI, etc.),Like the concept/idea of futuristic amusement park,Like the premise/setting/scenery,Technology involvement/overpowering human life,Dark/sarcastic"
I like the characters and the genre of the show that keeps me captivated snd want to watch	"Appealing characters/I like the characters,Like the genre,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
I love the story line and the characters. It has a very interesting plot and my wife and i don't miss it every week	"Like the writing/dialog,Appealing characters/I like the characters,Interesting/engaging,Like the premise/setting/scenery,,,"
"i think it is a completly different narative than other shows i usually watch, i like the tech part of it"	"Unique/different,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
Interesting concept	"Interesting/engaging,,,,,,"
Liked the original movie	"Already seen/like the original movie,,,,,,"
The combination of simple western storylines along with hi-tech artificial intelligence is great. Especially that the AI characters evolve. Their evolution takes place over time through multiple episodes.	"Western aspect,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
I think that the plot twists and the way that the show makes us wonder about may or not be real is very engaging. The show is also very well written and visually well shot. I think it is the most inventive show on television today.	"Suspense/Mystery/thrillers,Interesting/engaging,Like the writing/dialog,Good visuals/graphics/special effects,Creative/innovative/modern,,"
The character's	"Appealing characters/I like the characters,,,,,,"
the importance of music and architecture in creating a world outside of ours	"Other High quality production values Mentions,,,,,,"
the concept of a place like this existing and what things may go wrong	"Other storyline/Plot mentions,,,,,,"
its good show	"Good/like the show/everything,,,,,,"
yes westworld is the best	"Good/like the show/everything,,,,,,"
"the cast and the plot itself, really intense"	"Good cast/actors,Good storyline/subject matter,Intense/serious,,,,"
"The cast and the storyline really makes this show a beauty in my eyes, the dialogue is pretty good as well"	"Good cast/actors,Good storyline/subject matter,Like the writing/dialog,,,,"
The look into the possible future	"Futuristic,,,,,,"
very different and unique storyline	"Unique/different,,,,,,"
The characters	"Appealing characters/I like the characters,,,,,,"
this show story is very nice	"Good storyline/subject matter,,,,,,"
its strong writing...detailed creativity about their world...interwolved storylines	"Like the writing/dialog,Informative/detailed,Creative/innovative/modern,Other storyline/Plot mentions,,,"
"I really like the story line of the episodes, the acting is outstanding also"	"Good storyline/subject matter,Good acting,,,,,"
I’ve always followed Jeffrey Wright’s selective career. I knew this would be a good show if he were involved.	"Other misc. mentions,,,,,,"
with an impressive level of quality	"High quality show/high production values,,,,,,"
"The great acting and writing, and the amazing stories lines."	"Good acting,Like the writing/dialog,Good storyline/subject matter,,,,"
Good writing and acting	"Like the writing/dialog,Good acting,,,,,"
It’s dark and exhilarating	"Dark/sarcastic,Exciting,,,,,"
"I love the unpredictability of it, and the thought provoking questions. I also love the gray characters, and how you can sympothize with many people doing bad"	"Suspense/Mystery/thrillers,Thought provoking,Appealing characters/I like the characters,Other show characteristic mentions,,,"
I like that Westworld is a great show that has excellent cast that have me interested	"Good/like the show/everything,Good cast/actors,Interesting/engaging,,,,"
yes show	"Good/like the show/everything,,,,,,"
The acting and the storyline are both amazing	"Good acting,Good storyline/subject matter,,,,,"
Inn m love Ed Harris	"Like Ed Harris,,,,,,"
It is cool to guess now which are the robots from westworld and which are the humans. It is full of twists and turns and I love that.	"Other characters mentions,Suspense/Mystery/thrillers,,,,,"
It seems futuristic to me. Like mysterious and new. Which is pretty cliche but nonetheless they seem to take a different angle with it.	"Futuristic,Suspense/Mystery/thrillers,Unique/different,,,,"
The fact that it’s a deeply intellectual show that has lots of twists and plot depth	"Other show type mentions,Suspense/Mystery/thrillers,Informative/detailed,,,,"
Just started it a few weeks back on the recommendation of friends. I've liked it so far	"Heard good review/recommendations by family/friends,Good/like the show/everything,,,,,"
"I love the characters, the plot and the twist. JJ Abrams is always great"	"Appealing characters/I like the characters,Like the premise/setting/scenery,Suspense/Mystery/thrillers,Other acting mentions,,,"
it is awesome godo acting and good story	"Good/like the show/everything,Good acting,Good storyline/subject matter,,,,"
"The futuristic aspects, nothing like it in TV"	"Futuristic,Unique/different,,,,,"
"The acting is great, the twists are subtle, yet really eye opening"	"Good acting,Suspense/Mystery/thrillers,,,,,"
Its a great show with a great cast.	"Good/like the show/everything,Good cast/actors,,,,,"
Great	"Good/like the show/everything,,,,,,"
It is just my type of genre.	"Good/like the show/everything,,,,,,"
i want to see more about the new episode with every character	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"The interesting storyline. When you first watch it, you don't really know what it is about, but if you keep on watching it, you'll start to see what the show is about."	"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
I think it’s a great adaptation and evolution of an interesting film.	"Other misc. mentions,,,,,,"
The twist and turns of the show .. never know whats going to happen from one show to the next.. always makes you wonder WHATS NEXT	"Suspense/Mystery/thrillers,,,,,,"
great	"Good/like the show/everything,,,,,,"
It's like a video game with no rules and it draws you into playing along with it all and the fact that it taxes your brain in trying to figure out what is going on from one episode to the next.	"Attention grabbing/holds interest/keeps you wanting to watch more,Thought provoking,,,,,"
It really makes you think about is this something that could happen in the future with the technology that we develop	"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
I love the Sci fi and how there is so many plot twists interesting story and pretty easy for me to follow!	"Science fiction/fantasy,Suspense/Mystery/thrillers,Interesting/engaging,Good storyline/subject matter,Other misc. mentions,,"
Robotics	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
"It succeeded in rebooting itself by broadening the scope beyond titular amusement park while tightening its storytelling with clarity, I feel like that the soul has been stripped from this machine in the process and shown on the screen."	"Technological aspects (inclusion of robots, exploring AI, etc.),Good storyline/subject matter,Like the concept/idea of futuristic amusement park,,,,"
All HBO series are great	"Aired on HBO,Good/like the show/everything,,,,,"
"Different, thought provoking, intense!"	"Unique/different,Thought provoking,Intense/serious,,,,"
I don’t know or not sure	"Don't know,,,,,,"
It is very fun and entertaining to watch	"Witty/humorous/funny/entertaining,,,,,,"
I like the storyline. It has very good actors and it is engaging to watch	"Good storyline/subject matter,Good cast/actors,Interesting/engaging,,,,"
"The twists and ends the action and stuff, my friend made it seem boring but it’s sculpt a wooly good laugh and a *&@!# of a show man"	"Suspense/Mystery/thrillers,Good acting,Witty/humorous/funny/entertaining,,,,"
the tense and the action	"Intense/serious,Like the action/adventurous,,,,,"
