I like to binge watch. It has an interesting storyline that keeps me engaged.	"Interesting/engaging,,,,,,"
The unexpected twists are great. The control over our destinies is really thought provoking	"Suspense/Mystery/thrillers,Thought provoking,,,,,"
With all the action and drama that the show has makes it even more interesting to keep watching and waiting for next weeks episode.	"Like the action/adventurous,Like the drama,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Westworld is amazing one of the best shows ever	"Good/like the show/everything,,,,,,"
its sees too good than other movie or other series so its too good than other things really it was too good	"Good/like the show/everything,,,,,,"
Thinking about if this canreally happen in the future.	"Futuristic,,,,,,"
"The characters are interesting, and the hosts finally gaining their own agency is exciting to watch."	"Appealing characters/I like the characters,Exciting,,,,,"
Just a fun story line	"Witty/humorous/funny/entertaining,,,,,,"
Mostly the cast and production value.	"Good cast/actors,High quality show/high production values,,,,,"
A.I. becomes real with emotions like humans and can be reprogrammed. The future of being there be kinda weird.	"All negative mentions,,,,,,"
The futuristic possibilities make it a good show	"Futuristic,Good/like the show/everything,,,,,"
I like the idea of artificial intelligence and the cruelty of mankind that this show brings to light	"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Other realistic/association with real life mentions,,,,"
"Complex ideas, interesting world and characters"	"Complex storyline,Interesting/engaging,Like the premise/setting/scenery,Appealing characters/I like the characters,,,"
Westworld	"Good/like the show/everything,,,,,,"
My husband watches it and I’m in the room	"Have not watched enough to comment/not familiar with the show,,,,,,"
It makes a good show because it’s something different I haven’t seen on tv before	"Good/like the show/everything,Unique/different,,,,,"
the original movie	"Already seen/like the original movie,,,,,,"
It always has me thinking	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"I think Westworld is interesting because I think that our world could end up looking like this very soon. Artificial intelligence is quite interesting to me. Who knows where we're going to end up. I don't know if we will treat robots this way, but I feel like it's a possibility."	"Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
greart	"Good/like the show/everything,,,,,,"
the show is totally different. i love everything about the show. i like shows that are unique	"Unique/different,Good/like the show/everything,,,,,"
weqrweqrcwercweqrcwerqwerrcweqrcqwerc	"None/no answer,,,,,,"
Seeing the plot developments and what happens to the characters.	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The line between morality for a character that is not technically alive	"Other misc. mentions,,,,,,"
The complex characters and twisty turny story	"Like the character complexity,Suspense/Mystery/thrillers,,,,,"
like sci-fi	"Science fiction/fantasy,,,,,,"
"I was very interested in season one. I did not automatically love the show, but I was always wondering what would happen in the next episode. Season two was disappointing to me and I lost some of my overall interest. However, I really liked the story lines with Shogun World and the Ghost Nation. I was even less interested in season three - I miss the parks and I think they left the parks too early in the series. I don't care about the real world as much."	"All negative mentions,,,,,,"
I like the genre and the exploration of potential future worlds	"Like the genre,Futuristic,,,,,"
"great plot twists, good acting"	"Suspense/Mystery/thrillers,Good cast/actors,,,,,"
It focuses on a futuristic story line but still has old western elements	"Futuristic,Good storyline/subject matter,Western aspect,,,,"
see what new challenge you are in and how you can face it or what it brings	"Relevant to 21st century/existing in the world today/reflects our current society,,,,,,"
The inclusion of robots and artificial intelligence. The depiction of the world and how it relates to our current world. Wish it would explore the futuristic elements more.	"Technological aspects (inclusion of robots, exploring AI, etc.),Relevant to 21st century/existing in the world today/reflects our current society,Futuristic,,,,"
Some of my friends are watching it	"Heard good review/recommendations by family/friends,,,,,,"
The story and characters	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The performance of its protagonists in special the performance of ed harris and the plot as such of the series	"Good acting,Like Ed Harris,Good storyline/subject matter,,,,"
It is very intriguing and good.	"Interesting/engaging,Good/like the show/everything,,,,,"
A VERY NICE CLEAR IMAGE AND SCENE AND THRILLING PLOT THAT MAKE YOU THINK AND I LIKE THE CHARACTERS	"Good visuals/graphics/special effects,Suspense/Mystery/thrillers,Like the premise/setting/scenery,Thought provoking,Appealing characters/I like the characters,,"
i seen previous seasons	"Have not watched enough to comment/not familiar with the show,,,,,,"
i like it very much this story	"Good/like the show/everything,Good storyline/subject matter,,,,,"
some of the characters	"Appealing characters/I like the characters,,,,,,"
Not sure if I understand your question.	"Don't know,,,,,,"
I like the setting. I really enjoy seeing the air as a new species of life	"Like the premise/setting/scenery,Witty/humorous/funny/entertaining,,,,,"
nothing specific	"None/no answer,,,,,,"
A good show for family.	"Good/like the show/everything,Can watch with family/family likes the show,,,,,"
The other world theme. The idea that we can create artificial intelligence that is essentially human. So human it make you feel bad for the machines.	"Like the concept/idea of futuristic amusement park,Technology involvement/overpowering human life,,,,,"
Good	"Good/like the show/everything,,,,,,"
It is visually stunning. The story line is intriguing. They consistently have super talented actors.	"Good visuals/graphics/special effects,Interesting/engaging,Good cast/actors,,,,"
Storyline	"Good storyline/subject matter,,,,,,"
I think the character development and script are amazing. I also like that the storyline is always really interesting and there’s never a dull moment.	"Like the characters development,Good storyline/subject matter,Interesting/engaging,,,,"
yes	"None/no answer,,,,,,"
I don't really care for watching it anymore because season 2 was a cluster *&@!# and made the show *&@!#	"All negative mentions,,,,,,"
I think the cast	"Good cast/actors,,,,,,"
"It keeps me wondering what the heck is going on, so I watch to figure it out"	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
the action	"Like the action/adventurous,,,,,,"
"The sci fi aspect, I enjoy the characters and Wild West mixed with robots."	"Science fiction/fantasy,Appealing characters/I like the characters,Technological aspects (inclusion of robots, exploring AI, etc.),,,,"
I like it because it’s not like other shows I like that is is engaging and interesting. They whole idea of the show has always reminded me of a Dream world	"Interesting/engaging,Like the concept/idea of futuristic amusement park,,,,,"
nothing	"None/no answer,,,,,,"
The plot is very different but not crazy enough for audience to not understand. Nice twists as well in the storyline.	"Unique/different,Suspense/Mystery/thrillers,,,,,"
the acting. the sci-fi storyline. the complex storyline. I want to know what is going on.	"Good acting,Science fiction/fantasy,Complex storyline,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
it was good	"Good/like the show/everything,,,,,,"
The story and human reality	"Good storyline/subject matter,Looks realistic,,,,,"
The not knowing part	"Suspense/Mystery/thrillers,,,,,,"
it was cool	"Good/like the show/everything,,,,,,"
greet	"Good/like the show/everything,,,,,,"
n/a	"None/no answer,,,,,,"
the story of the show and how it is going.	"Good storyline/subject matter,Suspense/Mystery/thrillers,,,,,"
I like to watch	"Good/like the show/everything,,,,,,"
"I truly love the way they interweave the artificial intelligence aspect with real life struggles and the robots' desire to become liberated. It's an aspect that every feeling, thinking human being longs for and apparently so do robots when they're created by humans who understand that. Westworld, for me is the complete understanding that if you create it and then break it, you have to fix it or make it better. There's also a privacy issue at stake in this movie that is a little concerning to me."	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The characters and the story line. I love Bernard and Delores.	"Appealing characters/I like the characters,Good storyline/subject matter,Other characters mentions,Like the character Dolores Abernathy,,,"
"I love the concept of AI beings achieving sentience, and the cast is amazing individually and together. The evolving issues and pace are perfect and draw you in like good sci-fi used to do."	"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,Other show characteristic mentions,Attention grabbing/holds interest/keeps you wanting to watch more,Science fiction/fantasy,"
hbbyuy	"None/no answer,,,,,,"
Compelling characters and great story lines!	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
Never know what's going to happen. It keeps me guessing.	"Suspense/Mystery/thrillers,,,,,,"
It's unique	"Unique/different,,,,,,"
it compels you to keep following looking for explanations and answers	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
it grabs my attention from beginning to end of every episode	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The writing and story line MADE it a good show. Now the writing and story line is terrible. Stopped watching halfway through the second episode of the new season.	"Good storyline/subject matter,Like the writing/dialog,,,,,"
THrilling show.very interested	"Suspense/Mystery/thrillers,Interesting/engaging,,,,,"
good quality acting. love sci fi shows in general. Love the way the robots think/act so much like humans but are completely different in motivations. Want to see what happens next.	"Good acting,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Attention grabbing/holds interest/keeps you wanting to watch more,,,"
The characters in the show and the story line.	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
na	"None/no answer,,,,,,"
LOVE DELORES ROLE	"Like the character Dolores Abernathy,,,,,,"
I remember seeing the movie when I was younger. This is a good adaptation of it.	"Good/like the show/everything,,,,,,"
The characters and the storyline	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I have only seen one show but I guess the fact that it pertains to science fiction.	"Have not watched enough to comment/not familiar with the show,Science fiction/fantasy,,,,,"
The plot	"Good storyline/subject matter,,,,,,"
Fun	"Witty/humorous/funny/entertaining,,,,,,"
it has such a good storyline and great characters!	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The plot and storyline	"Good storyline/subject matter,,,,,,"
Dolores’ storyline. She is a strong feminine chsracter	"Like the character Dolores Abernathy,Good storyline/subject matter,,,,,"
ajdflajdfkjsadf;js;fsjaf	"None/no answer,,,,,,"
"High quality, interesting story"	"High quality show/high production values,Interesting/engaging,Good storyline/subject matter,,,,"
Good flick	"Good/like the show/everything,,,,,,"
A good show offers an escape from the real world without being stupid and/or too complicated.	"Good/like the show/everything,Other show characteristic mentions,,,,,"
nothing	"None/no answer,,,,,,"
My husband watches it and I see some of the show while he watches it.	"Have not watched enough to comment/not familiar with the show,,,,,,"
"The appealing action, story, show"	"Like the action/adventurous,Good storyline/subject matter,Good/like the show/everything,,,,"
It’s visually stunning with compelling characters and fantastic premise but so damn hard to follow. I usually have to watch each episode twice to understand what happened	"Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,Good storyline/subject matter,,,,"
"This third season lost all of its charm to me. The end of the second season was so confusing, and the beginning of this one is not interesting. Super disappointed.. will probably not watch the rest of this season"	"All negative mentions,,,,,,"
Nothing	"None/no answer,,,,,,"
The special effects and acting are good.	"Good visuals/graphics/special effects,Good acting,,,,,"
The look into the future. The cast is great actors.	"Futuristic,Good cast/actors,,,,,"
It's ciol	"Good/like the show/everything,,,,,,"
The fact that it integrates elements of westerns into it.	"Western aspect,,,,,,"
"Heard good things including cast, writing & special effects"	"Heard good review/recommendations by family/friends,Good cast/actors,Like the writing/dialog,Good visuals/graphics/special effects,,,"
Not sure	"Don't know,,,,,,"
Very funny	"Witty/humorous/funny/entertaining,,,,,,"
Its a good show because it allows you to see what could be.	"Good/like the show/everything,Futuristic,,,,,"
i like to imagine how our progress is inevitably our destruction	"Science fiction/fantasy,Other realistic/association with real life mentions,,,,,"
it is very futirwitic to me and an escape	"Futuristic,Other misc. mentions,,,,,"
the evolution of humans and robots and how we are becoming so intertwined	"Technology involvement/overpowering human life,,,,,,"
I am a big fan of the science fiction genre and Westworld has great acting and graphics	"Science fiction/fantasy,Good acting,Good visuals/graphics/special effects,,,,"
"The series delves deep into the ethics of artificial intelligence,I like it for that"	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
bring more actresses	"All negative mentions,,,,,,"
It makes me happy when I watch it	"Witty/humorous/funny/entertaining,,,,,,"
"I've been hooked since the beginning of season 1. The show is mesmerizing, outstanding cast, acting and writing. Just love it. I've not yet watched season 3 it's on my DVR but plan to start it very soon."	"Good/like the show/everything,Good cast/actors,Good acting,Like the writing/dialog,Have not watched enough to comment/not familiar with the show,,"
"It continues a narrativre and how AI is evolving into ""real"" peoplw"	"Other realistic/association with real life mentions,,,,,,"
The science fiction aspect of it and how it’s based on an older movie. I also think it being on HBO is a plus because it is not as limited as it would be on a cable network like ABC	"Science fiction/fantasy,Other misc. mentions,Aired on HBO,,,,"
The characters. The storyline makes a good show.	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I keeps you guessing. You never really know what's going to happen next.	"Thought provoking,Suspense/Mystery/thrillers,,,,,"
Futuristic creations	"Futuristic,,,,,,"
Complex storytelling	"Complex storyline,,,,,,"
I like the cast and the story line its new and original	"Good cast/actors,Good storyline/subject matter,Unique/different,Original,,,"
they keep it interesting who knew delores was the original and everyone after was a piece of her now it makes you wonder who really created delores and why also seracs brother was supposed to be the crazy one i am really questioning that i think serac is the mental one	"Interesting/engaging,Like the character Dolores Abernathy,Other storyline/Plot mentions,,,,"
"originally it was the tie to the original movie, but I just enjoy the acting, production value and stories"	"Already seen/like the original movie,Good acting,Good storyline/subject matter,High quality show/high production values,,,"
The future of A.I. and the fantasy	"Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,,,,,"
good	"Good/like the show/everything,,,,,,"
the complexity of the story and timeline	"Complex storyline,Other misc. mentions,,,,,"
"The production has been solid throughout all the seasons with great writing, acting and overall story telling. The show is exciting and gives alot to talk about with fans."	"High quality show/high production values,Like the writing/dialog,Good acting,Good storyline/subject matter,Exciting,Heard good review/recommendations by family/friends,"
The cast members	"Good cast/actors,,,,,,"
I like the concept but just haven’t gotten around to watching past the first half of season 1	"Like the concept/idea of futuristic amusement park,Have not watched enough to comment/not familiar with the show,,,,,"
"nothing really. I am not into that type of show, I like realistic shows, subject matter I can relate to"	"None/no answer,,,,,,"
Is excellent and very good quality	"Good/like the show/everything,High quality show/high production values,,,,,"
The story is like nothing else on TV and keeps me entertained and hooked	"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
engaging and fresh	"Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,,,,,"
great its good	"Good/like the show/everything,,,,,,"
nice cool	"Good/like the show/everything,,,,,,"
I love you so I’ll see you soon bye love you guys love you too love you so I’ll see you tomorrow love you guys love you too love you so much love y’all I’ll see you soon love you guys bye love you guys love you too bye love you guys love you too bye	"None/no answer,,,,,,"
mellow	"Other show characteristic mentions,,,,,,"
The actors and some of the plots of the episodes.	"Good cast/actors,Multiple story lines,,,,,"
The futuristic elements and the Wild West vibe blend really well. There is an all star cast list.	"Futuristic,Western aspect,Good cast/actors,,,,"
No u are the me do un beso a la gente a tu alrededor de tu parte te quiero te extraño te quiero un abrazo grande a todos gracias gracias te quiero un abrazo grande a todos gracias gracias te quiero	"None/no answer,,,,,,"
very good	"Good/like the show/everything,,,,,,"
Definitely the actors	"Good cast/actors,,,,,,"
The artificial intelligence aspect	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
The well-known actors and the overall plot. The futuristic elements make it all the more exciting.	"Good cast/actors,Good storyline/subject matter,Futuristic,Exciting,,,"
I like how it's a creepy amusement park and only certain people can get in.	"Like the concept/idea of futuristic amusement park,,,,,,"
the characters and actors	"Appealing characters/I like the characters,Good cast/actors,,,,,"
The mystery surrounding the storyline	"Suspense/Mystery/thrillers,,,,,,"
I have always loved robot shows and the grittiness like game of thrones is what keeps me watching. The nudity could be increased tastefully and *&@!# scenes would be favorable. Longer seasons are also something I want.	"Technological aspects (inclusion of robots, exploring AI, etc.),Other misc. mentions,,,,,"
the spirits are getting more exciting and intense	"Exciting,Intense/serious,,,,,"
Westworld draws me by being futuristic and thought provoking. This show has taken the sci-fi genre to another level of entertainment which I enjoy.	"Futuristic,Thought provoking,Science fiction/fantasy,Witty/humorous/funny/entertaining,,,"
The interesting plot	"Good storyline/subject matter,,,,,,"
everything really	"Good/like the show/everything,,,,,,"
The main story line. It's interesting.	"Good storyline/subject matter,,,,,,"
good	"Good/like the show/everything,,,,,,"
It is interesting and the the story lines keep me curious.	"Interesting/engaging,Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
good	"Good/like the show/everything,,,,,,"
I like when there are twists in a show I do not see coming. Westworld always has many of these.	"Suspense/Mystery/thrillers,,,,,,"
"I always seem to be confused and yet it draws me back in, because I want answers. It’s inviting because you hope something will get answered in the next episode, which maybe only 25% of your questions get answered, but it still keeps me coming back."	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
Character arch	"Appealing characters/I like the characters,,,,,,"
The idea of a park where people can let their darker side loose without fear of consequences. It was an interesting look into the human psyche to see what lies just below the surface.	"Like the concept/idea of futuristic amusement park,Technology involvement/overpowering human life,,,,,"
I love sci fi in general but I really liked the whole robot part. I think robots are still something that’s interesting and it brings up questions of whether or not it’s ok to be a bad person just because you think somethings not human. I love the drama overall and the characters working together.	"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Like the drama,Other characters mentions,,,"
The storyline really keeps me wanting to see what happens next	"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"Everything about it, the whole concept"	"Good/like the show/everything,Like the concept/idea of futuristic amusement park,,,,,"
I like the Sci Fi genre and the focus on futuristic elements. It is a unique plot with unique futuristic possibilities that could exist in real life.	"Science fiction/fantasy,Futuristic,Unique/different,Like the premise/setting/scenery,,,"
"Everything was perfect, I think"	"Good/like the show/everything,,,,,,"
The acting is superb. Storyline is complex and intriguing. Shows keeps me guessing what will happen next.	"Good acting,Complex storyline,Interesting/engaging,Suspense/Mystery/thrillers,,,"
The futuristic aspect of the show is very interesting. The different twists they have added is also interesting. I hope they reopen the park.	"Futuristic,Suspense/Mystery/thrillers,Like the concept/idea of futuristic amusement park,,,,"
The futuristic style and the dialogue in the show is very appealing to and makes me very interested to watch more. I think this combined with the number of talented actors makes this a good show.	"Futuristic,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,Good cast/actors,Good/like the show/everything,,"
the girls are hot	"Good cast/actors,,,,,,"
The whole thing is intrigue built on top of itself in a fascinating way.	"Good/like the show/everything,,,,,,"
i into this show is so good	"Good/like the show/everything,,,,,,"
"The way it relates to issues today, but still is fantasy. The story, writing and acting are incredible."	"Relevant to 21st century/existing in the world today/reflects our current society,Science fiction/fantasy,Good storyline/subject matter,Like the writing/dialog,Good acting,,"
great quality each episode is good whit some boring scene but excellent	"High quality show/high production values,Good/like the show/everything,,,,,"
"The acting and storylines are great, the plot is new."	"Good acting,Good storyline/subject matter,Unique/different,,,,"
make the plot clearer	"All negative mentions,,,,,,"
THIS SHOW CONCEPT VERY EXCILENT	"Like the concept/idea of futuristic amusement park,,,,,,"
It is a cool show	"Good/like the show/everything,,,,,,"
I'm fascinated with artificial intelligence and I love the actors	"Technological aspects (inclusion of robots, exploring AI, etc.),Good cast/actors,,,,,"
"in the beginning it was new and different, and kept you guessing as to what was going to happen, and who was going to show up where. Then it became predictable, as if the writers had run out of ideas for the plot"	"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Storyline	"Good storyline/subject matter,,,,,,"
my husband made me watch this shows and my first impressions i dont like it until my husband keep watching it until i understand the story and it was cool very exciting movie	"Good/like the show/everything,Exciting,,,,,"
"It is fun, entertaining and full of interesting events"	"Witty/humorous/funny/entertaining,Interesting/engaging,,,,,"
"Great acting across the board, but Aaron Paul is the best it’s one his best roles"	"Good acting,Like Aaron Paul,,,,,"
Los robots de un parque de diversiones futurista basado en el Salvaje Oeste enloquecen y se convierten en una amenaza para los visitantes.	"All negative mentions,,,,,,"
has character interesting and good brand	"Appealing characters/I like the characters,,,,,,"
new story line	"Unique/different,,,,,,"
im drawn into the characters and i wanna see how this plays out	"Appealing characters/I like the characters,,,,,,"
Cast overall	"Good cast/actors,,,,,,"
The futuristic aspect	"Futuristic,,,,,,"
The characters	"Appealing characters/I like the characters,,,,,,"
the story line and the actors the 1st season was great	"Good storyline/subject matter,Good cast/actors,Good experience/liked the previous seasons,,,,"
The adventure and anticipation keeps me hanging on.	"Like the action/adventurous,Science fiction/fantasy,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
The imagination becoming reality is pretty cool. The sci-fi aspect of the the show is trilling.	"Science fiction/fantasy,Suspense/Mystery/thrillers,,,,,"
all the cast members and the plot and how twisted it is.	"Good cast/actors,Like the premise/setting/scenery,Suspense/Mystery/thrillers,,,,"
